feature_1,feature_2,feature_3,label
-0.48,-1.94,76,A
-0.46,-1.95,48,A
-0.44,-1.95,22,A
-0.42,-1.96,12,A
-0.4,-1.96,23,A
-0.38,-1.96,31,A
-0.36,-1.97,81,A
-0.34,-1.97,45,A
-0.32,-1.97,16,A
-0.3,-1.98,94,A
-0.28,-1.98,1,A
-0.26,-1.98,50,A
-0.24,-1.99,88,A
-0.22,-1.99,46,A
-0.2,-1.99,62,A
-0.18,-1.99,24,A
-0.16,-1.99,35,A
-0.14,-1.99,93,A
-0.12,-2.0,79,A
-0.1,-2.0,22,A
-0.08,-2.0,56,A
-0.06,-2.0,73,A
-0.04,-2.0,81,A
-0.02,-2.0,65,A
-0.0,-2.0,40,A
0.02,-2.0,36,A
0.04,-2.0,35,A
0.06,-2.0,83,A
0.08,-2.0,8,A
0.1,-2.0,56,A
0.12,-2.0,58,A
0.14,-2.0,28,A
0.16,-1.99,87,A
0.17,-1.99,85,A
0.19,-1.99,25,A
0.21,-1.99,63,A
0.23,-1.99,57,A
0.25,-1.98,66,A
0.27,-1.98,96,A
0.29,-1.98,16,A
0.31,-1.98,63,A
0.33,-1.97,14,A
0.35,-1.97,60,A
0.37,-1.96,3,A
0.39,-1.96,20,A
0.41,-1.96,85,A
0.43,-1.95,93,A
0.45,-1.95,44,A
0.47,-1.94,71,A
0.49,-1.94,57,A
0.51,-1.93,10,A
0.53,-1.93,59,A
0.55,-1.92,76,A
0.57,-1.92,45,A
0.59,-1.91,49,A
0.61,-1.91,67,A
0.62,-1.9,99,A
0.64,-1.89,11,A
0.66,-1.89,35,A
0.68,-1.88,80,A
0.7,-1.87,46,A
0.72,-1.87,28,A
0.74,-1.86,68,A
0.76,-1.85,90,A
0.77,-1.84,68,A
0.79,-1.84,23,A
0.81,-1.83,0,A
0.83,-1.82,9,A
0.85,-1.81,59,A
0.87,-1.8,29,A
0.88,-1.79,87,A
0.9,-1.79,83,A
0.92,-1.78,59,A
0.94,-1.77,94,A
0.95,-1.76,90,A
0.97,-1.75,35,A
0.99,-1.74,45,A
1.01,-1.73,95,A
1.02,-1.72,15,A
1.04,-1.71,90,A
1.06,-1.7,41,A
1.08,-1.69,23,A
1.09,-1.68,96,A
1.11,-1.66,35,A
1.13,-1.65,15,A
1.14,-1.64,46,A
1.16,-1.63,26,A
1.17,-1.62,69,A
1.19,-1.61,42,A
1.21,-1.6,52,A
1.22,-1.58,12,A
1.24,-1.57,39,A
1.25,-1.56,93,A
1.27,-1.55,29,A
1.28,-1.53,57,A
1.3,-1.52,15,A
1.32,-1.51,23,A
1.33,-1.49,73,A
1.35,-1.48,2,A
1.36,-1.47,23,A
1.37,-1.45,69,A
1.39,-1.44,58,A
1.4,-1.43,18,A
1.42,-1.41,20,A
1.43,-1.4,50,A
1.45,-1.38,23,A
1.46,-1.37,95,A
1.47,-1.35,26,A
1.49,-1.34,5,A
1.5,-1.32,0,A
1.51,-1.31,60,A
1.53,-1.29,41,A
1.54,-1.28,19,A
1.55,-1.26,90,A
1.56,-1.25,69,A
1.58,-1.23,8,A
1.59,-1.22,79,A
1.6,-1.2,75,A
1.61,-1.18,1,A
1.62,-1.17,45,A
1.64,-1.15,3,A
1.65,-1.13,50,A
1.66,-1.12,95,A
1.67,-1.1,72,A
1.68,-1.08,48,A
1.69,-1.07,89,A
1.7,-1.05,65,A
1.71,-1.03,97,A
1.72,-1.02,24,A
1.73,-1.0,80,A
1.74,-0.98,26,A
1.75,-0.96,9,A
1.76,-0.95,92,A
1.77,-0.93,79,A
1.78,-0.91,32,A
1.79,-0.89,58,A
1.8,-0.88,51,A
1.81,-0.86,59,A
1.82,-0.84,79,A
1.82,-0.82,13,A
1.83,-0.8,45,A
1.84,-0.78,79,A
1.85,-0.77,7,A
1.85,-0.75,51,A
1.86,-0.73,12,A
1.87,-0.71,48,A
1.88,-0.69,83,A
1.88,-0.67,23,A
1.89,-0.65,41,A
1.9,-0.64,38,A
1.9,-0.62,96,A
1.91,-0.6,22,A
1.91,-0.58,9,A
1.92,-0.56,79,A
1.93,-0.54,82,A
1.93,-0.52,47,A
1.94,-0.5,43,A
1.94,-0.48,14,A
1.95,-0.46,31,A
1.95,-0.44,30,A
1.95,-0.42,74,A
1.96,-0.4,42,A
1.96,-0.38,76,A
1.97,-0.36,45,A
1.97,-0.34,46,A
1.97,-0.32,44,A
1.98,-0.31,25,A
1.98,-0.29,36,A
1.98,-0.27,51,A
1.98,-0.25,84,A
1.99,-0.23,91,A
1.99,-0.21,13,A
1.99,-0.19,89,A
1.99,-0.17,52,A
1.99,-0.15,99,A
2.0,-0.13,19,A
2.0,-0.11,33,A
2.0,-0.09,30,A
2.0,-0.07,41,A
2.0,-0.05,30,A
2.0,-0.03,3,A
2.0,-0.01,36,A
